area,bedrooms,bathrooms,age,location_score,price
1360,2,1,2,1,80.12
4272,3,3,2,7,296.81
3592,1,2,27,5,228.01
966,1,2,11,8,127.81
4926,2,1,14,4,285.1
3944,5,3,8,7,287.69
3671,1,2,30,5,226.87
3419,1,1,22,5,207.4
630,3,3,7,9,134.05
2185,4,2,10,9,225.23
1269,2,2,15,9,163.4
2891,2,3,25,6,218.9
2933,5,3,26,6,214.16
1684,5,3,24,5,159.3
3885,2,3,21,9,316.51
4617,5,1,3,10,354.63
3404,3,3,27,8,271.95
974,2,2,0,7,144.86
1582,5,2,23,7,179.25
3058,2,1,6,6,225.57
2547,4,2,1,5,210.51
3247,1,2,23,4,210.84
1475,2,3,27,3,118.6
2306,1,2,4,3,145.13
689,5,1,6,6,103.38
3234,1,3,3,4,201.66
3505,2,3,4,6,252.55
2399,4,1,23,3,168.39
1767,5,3,0,4,154.31
2028,2,3,0,9,222.64
3702,5,1,14,5,252.08
4056,3,3,19,7,285.37
4390,1,1,18,10,311.14
1146,3,1,28,2,63.45
3388,2,2,9,5,235.19
2935,4,2,27,9,268.38
1100,5,3,17,3,112.87
2863,1,3,27,9,218.14
2561,5,1,2,6,223.85
741,2,3,10,4,77.8
2541,5,1,14,7,206.96
3324,1,1,30,8,237.82
3112,2,3,26,6,225.83
1863,5,1,29,5,147.56
1978,4,2,10,6,179.13
3056,2,3,16,5,223.95
1275,2,2,16,8,162.27
4514,4,3,5,1,277.71
534,3,1,4,7,132.79
3652,1,3,7,10,304.2
2455,3,2,1,10,243.08
2085,5,1,15,2,154.34
4443,4,3,19,9,339.32
3573,3,3,23,1,209.21
1521,2,3,11,10,194.32
3961,5,2,5,6,279.43
3113,5,2,0,9,268.37
4343,3,3,30,1,238.18
2000,3,1,3,4,158.99
661,4,1,16,4,82.26
4797,1,2,12,9,341.08
2481,3,1,17,5,205.36
1495,3,2,4,5,128.31
3842,2,3,29,6,265.42
4298,5,2,23,1,245.74
1775,1,2,23,1,104.76
1516,2,3,26,9,170.49
837,4,1,2,3,93.39
1378,4,2,10,4,133.2
1576,3,2,12,1,102.78
4493,3,3,3,9,324.94
879,4,1,25,8,133.11
992,3,2,26,2,65.44
2562,1,3,13,8,225.13
4384,3,2,21,7,283.04
564,5,3,10,6,130.49
3068,3,1,26,1,173.7
2527,2,1,9,7,210.18
3195,1,1,18,10,238.11
1995,2,1,17,7,171.96
891,2,2,5,9,161.59
4974,5,2,26,1,273.51
4061,1,1,28,2,207.27
2778,1,1,14,9,224.53
3599,1,1,20,9,268.27
700,1,2,29,6,84.99
3604,1,1,9,6,257.04
2954,5,1,4,4,214.05
4145,3,1,25,4,248.19
1304,2,3,28,5,110.19
3231,1,1,4,3,203.39
